Number of Cycles,Average Dropped Packets,Ratio of Dropped Packets,Packet Generation Frequency,Ratio of Dropped Packets to Total Cycles,Ratio of Dropped Packets to Packet Generation Frequency,Total Packets Generated,Average 0 Packets Dropped,Average 1 Packets Dropped,Average 2 Packets Dropped,Average 3 Packets Dropped,Standard Deviation Dropped Packets
1000,31.6,,0.1,0.0316,316.0,239.0,7.9,8.4,7.8,7.5,7.906642776804831
2000,61.3,,0.15000000000000002,0.03065,408.6666666666666,445.0,15.8,15.6,14.9,15.0,15.32979125754816
3000,99.0,,0.2,0.033,495.0,681.0,26.3,23.5,24.3,24.9,24.771152577141017
4000,133.6,,0.25,0.0334,534.4,924.0,35.4,33.2,32.4,32.6,33.42125072465122
5000,163.7,,0.3,0.03274,545.6666666666666,1172.0,40.0,39.7,41.7,42.3,40.93980337031432
6000,183.3,,0.35,0.03055,523.7142857142858,1414.0,45.6,48.8,44.7,44.2,45.859922590427466
7000,221.5,,0.39999999999999997,0.031642857142857146,553.75,1582.0,55.7,53.5,56.0,56.3,55.385986494780425
8000,252.6,,0.44999999999999996,0.031575,561.3333333333334,1821.0,67.5,58.6,67.7,58.8,63.306674213703566
9000,289.0,,0.49999999999999994,0.03211111111111111,578.0000000000001,2064.0,75.4,70.9,72.4,70.3,72.27693269640045
10000,316.5,,0.5499999999999999,0.03165,575.4545454545455,2265.0,78.6,80.5,80.4,77.0,79.13812292441614
